team_nr,event_code
3646,2026tuis
4191,2026tuis
4481,2026tuis
4613,2026tuis
5883,2026tuis
6064,2026tuis
6431,2026tuis
6436,2026tuis
7296,2026tuis
7611,2026tuis
8153,2026tuis
8242,2026tuis
8557,2026tuis
9029,2026tuis
9077,2026tuis
9132,2026tuis
9232,2026tuis
9233,2026tuis
9483,2026tuis
9583,2026tuis
9595,2026tuis
9601,2026tuis
10043,2026tuis
10050,2026tuis
10064,2026tuis
10141,2026tuis
10146,2026tuis
10230,2026tuis
10261,2026tuis
10308,2026tuis
10428,2026tuis
10998,2026tuis
11000,2026tuis
11036,2026tuis
11244,2026tuis
11281,2026tuis
11416,2026tuis
11453,2026tuis
2905,2026tuis4
4481,2026tuis4
5553,2026tuis4
6014,2026tuis4
6232,2026tuis4
6417,2026tuis4
6431,2026tuis4
6988,2026tuis4
6989,2026tuis4
7444,2026tuis4
7576,2026tuis4
7632,2026tuis4
7742,2026tuis4
8042,2026tuis4
8058,2026tuis4
8079,2026tuis4
8084,2026tuis4
8151,2026tuis4
8169,2026tuis4
8173,2026tuis4
8584,2026tuis4
8613,2026tuis4
8725,2026tuis4
8759,2026tuis4
9079,2026tuis4
9102,2026tuis4
9427,2026tuis4
9519,2026tuis4
9601,2026tuis4
10064,2026tuis4
10216,2026tuis4
10230,2026tuis4
10396,2026tuis4
10907,2026tuis4
11010,2026tuis4
11300,2026tuis4
